Date_Key,PM25,Temp,Label
2019년11월_7일,23.0,13.6,0
2019년11월_8일,18.0,13.0,0
2019년11월_9일,22.0,17.2,1
2019년11월_10일,25.0,15.3,1
2019년11월_11일,15.0,15.1,1
2019년11월_12일,22.0,14.5,1
2019년11월_13일,21.0,11.3,0
2019년11월_14일,6.0,5.0,0
2019년11월_15일,13.0,7.6,0
2019년11월_16일,21.0,12.7,0
2019년11월_17일,16.0,10.5,0
2019년11월_18일,11.0,12.7,0
2019년11월_19일,9.0,4.0,0
2019년11월_20일,10.0,6.3,0
2019년11월_21일,18.0,9.0,0
2019년11월_22일,22.0,17.3,1
2019년11월_23일,19.0,17.7,1
2019년11월_24일,20.0,15.6,1
2019년11월_25일,14.0,6.0,0
2019년11월_26일,16.0,13.7,0
2019년11월_27일,22.0,6.8,0
2019년11월_28일,20.0,10.4,0
2019년11월_29일,23.0,6.9,0
2019년11월_30일,28.0,9.3,0
2020년09월_1일,8.0,29.5,0
2020년09월_2일,8.0,26.4,0
2020년09월_3일,5.0,25.6,0
2020년09월_4일,11.0,27.5,0
2020년09월_5일,19.0,27.3,0
2020년09월_6일,15.0,24.4,0
2020년09월_7일,3.0,20.6,1
2020년09월_8일,11.0,26.5,0
2020년09월_9일,18.0,25.3,0
2020년09월_10일,17.0,27.0,0
2020년09월_11일,17.0,27.1,0
2020년09월_12일,6.0,23.2,0
2020년09월_13일,3.0,26.6,0
2020년09월_14일,13.0,24.9,0
2020년09월_15일,23.0,27.7,0
2020년09월_16일,17.0,24.9,0
2020년09월_17일,9.0,23.6,0
2020년09월_18일,7.0,25.8,0
2020년09월_19일,9.0,26.2,0
2020년09월_20일,10.0,24.9,0
2020년09월_21일,13.0,25.3,0
2020년09월_22일,8.0,25.6,0
2020년09월_23일,3.0,23.8,0
2020년09월_24일,3.0,25.4,0
2020년09월_25일,5.0,25.4,0
2020년09월_26일,6.0,24.8,0
2020년09월_27일,7.0,25.8,0
2020년09월_28일,12.0,26.5,0
2020년09월_29일,17.0,23.9,0
2020년09월_30일,19.0,25.7,0
2020년10월_1일,10.0,23.6,0
2020년10월_2일,15.0,21.9,1
2020년10월_3일,20.0,23.2,0
2020년10월_4일,14.0,21.8,1
2020년10월_5일,8.0,18.4,1
2020년10월_6일,10.0,19.7,1
2020년10월_7일,10.0,22.0,1
2020년10월_8일,7.0,23.1,0
2020년10월_9일,7.0,23.3,0
2020년10월_10일,9.0,21.5,1
2020년10월_11일,12.0,20.8,1
2020년10월_12일,18.0,21.3,1
2020년10월_13일,10.0,18.4,1
2020년10월_14일,13.0,18.0,1
2020년10월_15일,12.0,18.5,1
2020년10월_16일,17.0,15.4,1
2020년10월_17일,18.0,18.6,1
2020년10월_18일,16.0,20.2,1
2020년10월_19일,31.0,21.3,1
2020년10월_20일,38.0,21.7,0
2020년10월_21일,25.0,17.3,1
2020년10월_22일,30.0,18.2,1
2020년10월_23일,9.0,13.3,0
2020년10월_24일,10.0,14.0,1
2020년10월_25일,15.0,18.2,1
2020년10월_26일,28.0,19.0,1
2020년10월_27일,47.0,19.4,0
2020년10월_28일,27.0,18.2,1
2020년10월_29일,14.0,16.1,1
2020년10월_30일,19.0,19.6,1
2020년10월_31일,14.0,18.2,1
2020년11월_1일,24.0,15.0,1
2020년11월_2일,18.0,15.6,1
2020년11월_3일,7.0,8.6,0
2020년11월_4일,10.0,10.8,0
2020년11월_5일,17.0,15.9,1
2020년11월_6일,26.0,17.2,1
2020년11월_7일,39.0,18.1,0
2020년11월_8일,16.0,12.4,0
2020년11월_9일,8.0,8.9,0
2020년11월_10일,11.0,12.9,0
2020년11월_11일,20.0,16.5,1
2020년11월_12일,39.0,17.7,0
2020년11월_13일,49.0,17.6,0
2020년11월_14일,47.0,19.3,0
2020년11월_15일,52.0,14.9,0
2020년11월_16일,45.0,18.3,0
2020년11월_17일,42.0,20.0,0
2020년11월_18일,28.0,18.7,1
